Date,Close,Volume,PriceRange
2009-06-19,25.24,36157377,5.28
2009-06-26,24.67,24996327,2.31
2009-07-03,23.66,21441652,1.37
2009-07-10,23.98,28722319,2.58
2009-07-17,24.87,22504956,1.76
2009-07-24,26.2,21228348,2.25
2009-07-31,28.4,37460301,3.6
2009-08-07,27.65,22739240,2.26
2009-08-14,28.82,17421202,2.16
2009-08-21,29.87,24035441,2.39
2009-08-28,29.67,16943582,1.41
2009-09-04,29.9,16990446,1.93
2009-09-11,31.33,18033459,2.87
2009-09-18,31.84,23620681,2.33
2009-09-25,28.31,27439709,3.82
2009-10-02,27.82,31905000,2.59
2009-10-09,29.52,26612649,2.43
2009-10-16,28.37,18686552,1.81
2009-10-23,28.5,17904333,1.86
2009-10-30,27.84,22007399,1.84
2009-11-06,30.88,21455695,3.42
2009-11-13,30.59,15008582,1.4
2009-11-20,30.03,16843708,2.56
2009-11-27,32.64,14616078,2.06
2009-12-04,32.16,17866226,1.6
2009-12-11,35.56,24722417,4.02
2009-12-18,35.8,18786419,1.7
2009-12-25,36.33,13268832,2.58
2010-01-01,35.27,6016699,1.36
2010-01-08,37.97,18072534,3.22
2010-01-15,36.84,19699344,2.62
2010-01-22,36.72,22904320,2.73
2010-01-29,33.77,22097581,3.5
2010-02-05,33.36,24915730,2.94
2010-02-12,32.76,16013300,1.57
2010-02-19,32.8,16804202,1.72
2010-02-26,34.26,20564693,2.22
2010-03-05,34.77,19613306,1.49
2010-03-12,34.54,14486448,1.49
2010-03-19,37.08,21870570,4.56
2010-03-26,35.9,17418859,2.37
2010-04-02,37.15,9031759,1.41
2010-04-09,36.63,15616543,2.11
2010-04-16,34.49,24282459,2.67
2010-04-23,33.99,21746231,2.9
2010-04-30,32.06,31762228,2.58
2010-05-07,31.39,36604024,3.19
2010-05-14,33.43,18595295,2.5
2010-05-21,32.65,20745877,2.57
2010-05-28,33.47,18465034,2.68
2010-06-04,34.07,13848637,2.94
2010-06-11,34.49,16734039,1.72
2010-06-18,35.21,12036496,0.97
2010-06-25,33.29,16734020,3.01
2010-07-02,29.77,24708627,4.61
2010-07-09,31.29,17074591,1.52
2010-07-16,30.34,16277303,1.62
2010-07-23,31.01,16891490,1.21
2010-07-30,30.76,13459752,1.99
2010-08-06,34.39,18398770,3.57
2010-08-13,33.38,15540466,2.22
2010-08-20,32.41,13245026,2.04
2010-08-27,32.52,11141646,1.65
2010-09-03,33.76,12832511,2.42
2010-09-10,34.64,7967690,1.53
2010-09-17,34.47,12698984,1.14
2010-09-24,36.01,10276022,1.58
2010-10-01,36.03,14051885,1.23
2010-10-08,35.42,10993471,1.68
2010-10-15,35.87,15042654,1.21
2010-10-22,36.17,13225965,1.98
2010-10-29,35.16,14443635,1.71
2010-11-05,37.36,16033851,2.96
2010-11-12,37.36,15890524,1.58
2010-11-19,37.45,13910537,2.06
2010-11-26,36.21,11478139,2.54
2010-12-03,37.98,15457985,2.71
2010-12-10,37.65,14531486,1.36
2010-12-17,36.7,15923554,2.4
2010-12-24,36.63,7030870,0.91
2010-12-31,36.66,5516306,0.65
