Date,Close,Volume,PriceRange
2008-07-11,54.56,8666174,2.86
2008-07-18,53.61,8854061,2.9
2008-07-25,56.32,10751448,5.54
2008-08-01,55.99,7176933,2.13
2008-08-08,57.02,11558866,3.21
2008-08-15,57.31,8103570,2.3
2008-08-22,58.44,7943989,3.44
2008-08-29,57.78,7738492,1.93
2008-09-05,56.92,8712715,2.65
2008-09-12,57.49,10127653,2.43
2008-09-19,57.03,13748488,7.42
2008-09-26,55.31,8438993,6.64
2008-10-03,48.86,10584958,6.69
2008-10-10,39.04,21239135,11.67
2008-10-17,44.83,17911500,6.9
2008-10-24,39.23,14155789,9.97
2008-10-31,36.79,21038739,4.93
2008-11-07,38.25,27149341,2.85
2008-11-14,35.26,15572937,6.43
2008-11-21,30.41,19130281,7
2008-11-28,34.94,11075848,6.47
2008-12-05,33.59,13628002,2.81
2008-12-12,36.53,14318745,3.61
2008-12-19,37.89,13937759,3.51
2008-12-26,37.37,4026298,1.43
2009-01-02,39.02,5554833,2.64
2009-01-09,40.21,10377603,2.62
2009-01-16,41.21,17044965,3.73
2009-01-23,39.64,11912157,3.61
2009-01-30,44.2,22490362,6.57
2009-02-06,45.68,21184721,2.93
2009-02-13,45.38,13853557,1.71
2009-02-20,45,13429492,2.58
2009-02-27,41.02,18761034,5.35
2009-03-06,39.38,15723054,2.86
2009-03-13,35.9,37047726,8.6
2009-03-20,35.03,17932507,2.04
2009-03-27,36.48,14395427,2.19
2009-04-03,33.89,19619921,3.02
2009-04-10,35.27,16565092,2.43
2009-04-17,36.29,15915657,2.59
2009-04-24,35.85,13583227,1.72
2009-05-01,37.93,14425113,4.06
2009-05-08,41.3,26216459,4.05
2009-05-15,38.46,18359901,3.15
2009-05-22,40.89,17611195,2.86
2009-05-29,41.15,10978323,1.9
2009-06-05,41.62,18628440,2.25
2009-06-12,42.98,15505411,2.86
2009-06-19,44.61,14192301,3.75
2009-06-26,44.67,12949995,2.33
2009-07-03,43.12,12714281,2.32
2009-07-10,43.23,15220706,2.18
2009-07-17,45.65,13546658,2.56
2009-07-24,46.71,7375344,1.72
2009-07-31,51.15,16900815,6.21
2009-08-07,53.11,17799817,3.94
2009-08-14,55,11795651,2.79
2009-08-21,56.24,11308853,2.62
2009-08-28,56.22,9511635,1.54
2009-09-04,56.13,10619574,2.83
2009-09-11,57.56,9306110,2.71
2009-09-18,58.46,11009507,1.87
2009-09-25,57.79,8537645,2.12
2009-10-02,57.7,10088809,2.42
2009-10-09,60.49,11668620,3.52
2009-10-16,61.07,11011932,1.71
2009-10-23,60.31,12333972,2.27
2009-10-30,58.73,17481920,5.93
2009-11-06,62.58,13090374,3.87
2009-11-13,64.24,8090836,1.87
2009-11-20,63.12,8307212,2.56
2009-11-27,62.75,5307761,2.34
2009-12-04,60.94,10565380,2.34
2009-12-11,62.24,12628743,2.68
2009-12-18,63.31,9965471,1.53
2009-12-25,62.82,5314046,1.95
2010-01-01,62.5,3807035,1.58
2010-01-08,60.77,14795887,3.39
2010-01-15,61.92,11421078,2.16
2010-01-22,60.57,7846277,2.93
2010-01-29,58.82,19487858,4.32
