Date,Close,Volume,PriceRange,Quarter,Quarter Close,Home Fitness Equipment Salse,"Revenue of the fitness, health and gym club industry",Health Club Membership ,Number of Health Clubs,Fitness App Market Size,Fitness Industry Businesses,Digital Health Investment,Fitness Center Machine Sales,B2B Sports Nutrition Market,Quarter Dolla Strength
43413,137.56,7834385,8.18,,,,,,,,,,,,
43420,134.53,9835425,9.72,,,,,,,,,,,,
43427,120.86,8477633,17.36,,,,,,,,,,,,
43434,132.55,11748246,11.86,,,,,,,,,,,,
43441,113.87,20579371,26.47,,,,,,,,,,,,
43448,119.12,19204686,13.43,,,,,,,,,,,,
43455,113.74,19061679,11.07,,,,,,,,,,,,
43462,121.4,8301289,14.66,,,,,,,,,,,,
43469,128.55,8614730,11.29,,,,,,,,,,,,
43476,132.16,14874174,8.18,,,,,,,,,,,,
43483,152.07,17844336,16.8,,,,,,,,,,,,
43490,151.89,7196004,5.58,,,,,,,,,,,,
43497,146.12,8361783,6.41,,,,,,,,,,,,
43504,148.62,8534790,8.51,,,,,,,,,,,,
43511,151.09,10669107,9.39,,,,,,,,,,,,
43518,149.26,5792366,4.27,,,,,,,,,,,,
43525,151.38,6738797,5.9,,,,,,,,,,,,
43532,142.51,7489175,11.11,,,,,,,,,,,,
43539,141.79,10021685,6.7,,,,,,,,,,,,
43546,143.21,8349865,8.04,,,,,,,,,,,,
43553,163.87,32997179,30.11,,,,,,,,,,,,
43560,169.37,12773401,9.68,,,,,,,,,,,,
43567,169.88,9118294,5.15,,,,,,,,,,,,
43574,173.31,8203034,6.71,,,,,,,,,,,,
43581,177.09,9446500,7.46,,,,,,,,,,,,
43588,178.64,6780595,4.17,,,,,,,,,,,,
43595,173.68,6086054,8.21,,,,,,,,,,,,
43602,173,7835332,10.84,,,,,,,,,,,,
43609,172.78,6563331,7.28,,,,,,,,,,,,
43616,165.59,10658533,15.16,,,,,,,,,,,,
43623,172.49,8255351,11.53,,,,,,,,,,,,
43630,176.71,24077003,13.6,,,,,,,,,,,,
43637,181.87,15331082,13.43,,,,,,,,,,,,
43644,180.21,11184060,9.14,,,,,,,,,,,,
43651,183.21,6364372,5.16,,,,,,,,,,,,
43658,189.52,10012419,8.92,,,,,,,,,,,,
43665,187.94,6273500,4.69,,,,,,,,,,,,
43672,190.61,4995038,7.63,,,,,,,,,,,,
43679,178.93,6774123,16.65,,,,,,,,,,,,
43686,182.82,7177603,14.76,,,,,,,,,,,,
43693,177.83,6562723,11.28,,,,,,,,,,,,
43700,180.03,5919108,7.88,,,,,,,,,,,,
43707,184.67,5793163,9.21,,,,,,,,,,,,
43714,203.14,21559326,26.18,,,,,,,,,,,,
43721,195.18,12425729,12.86,,,,,,,,,,,,
43728,189.3,7748397,8.15,,,,,,,,,,,,
43735,189.72,7913299,8.24,,,,,,,,,,,,
43742,193.12,6514108,8.71,,,,,,,,,,,,
43749,201.62,8016893,14.04,,,,,,,,,,,,
43756,207.11,9037376,7.78,,,,,,,,,,,,
43763,208,5520173,5.06,,,,,,,,,,,,
43770,200.69,8699768,8.3,,,,,,,,,,,,
43777,204.13,8570288,13.1,,,,,,,,,,,,
43784,215.91,7477649,13.36,,,,,,,,,,,,
43791,219.9,8266452,6.09,,,,,,,,,,,,
43798,225.69,5895037,9.4,,,,,,,,,,,,
43805,229.38,7763807,12.22,,,,,,,,,,,,
43812,223.55,26943215,17.32,,,,,,,,,,,,
43819,230.29,12262560,9.11,,,,,,,,,,,,
43826,230.02,5377781,6.35,,,,,,,,,,,,
43833,232.64,4903833,6.97,,,,,,,,,,,,
43840,234.84,7041360,8.67,,,,,,,,,,,,
43847,241.25,9506895,9.4,,,,,,,,,,,,
43854,240.35,4617629,6.75,,,,,,,,,,,,
43861,239.39,5424624,12.49,,,,,,,,,,,,
43868,243.51,6909555,9.92,,,,,,,,,,,,
43875,254.41,4721705,12.78,,,,,,,,,,,,
43882,255.9,5288347,12.54,,,,,,,,,,,,
43889,217.41,11228462,41.55,,,,,,,,,,,,
43896,218.55,12128177,23.18,,,,,,,,,,,,
