Date,Close,Volume,PriceRange,Quarter,Quarter Close
2021-02-19,78.5,6752952,6.86,,
2021-02-26,86.09,10028936,13.02,,
2021-03-05,83.44,7817602,13.07,,
2021-03-12,80.04,7223848,8.41,,
2021-03-19,78.35,5312304,6.75,,
2021-03-26,77.62,6136922,7.59,,
2021-04-02,78.52,4085898,4.36,,
2021-04-09,85.74,7231627,7.65,,
2021-04-16,88.3,5279420,5.19,,
2021-04-23,83.81,4091353,6.56,,
2021-04-30,83.99,3643591,4.42,,
2021-05-07,77.14,6610464,8.79,,
2021-05-14,79.06,6034093,7.39,,
2021-05-21,77.53,4638377,5.23,,
2021-05-28,78.77,3212233,3.11,,
2021-06-04,75.4,3946990,5.71,,
2021-06-11,75.16,3851771,2.99,,
2021-06-18,74.37,4867598,4.4,,
2021-06-25,78.12,3815090,4.68,,
2021-07-02,74.5,3758717,3.95,,
2021-07-09,73.86,4156726,4.32,,
2021-07-16,73.35,6141103,2.68,,
2021-07-23,75.4,6637347,7.61,,
2021-07-30,75.23,3914780,3.7,,
2021-08-06,75.59,5568880,5.87,,
2021-08-13,75.08,6596990,5.14,,
2021-08-20,70.13,6671754,8.2,,
2021-08-27,82.13,6087155,11.52,,
2021-09-03,76.48,4501740,6.62,,
2021-09-10,77.33,2743164,3.28,,
2021-09-17,78.41,3577673,2.86,,
2021-09-24,81.48,3799739,5.78,,
2021-10-01,83.09,3914734,6.27,,
2021-10-08,79.32,3677267,5.31,,
2021-10-15,81.03,2283335,5.03,,
2021-10-22,79,3719236,4.72,,
2021-10-29,79.55,2238408,2.12,,
2021-11-05,95.73,9800967,19.7,,
2021-11-12,92.28,4731949,7.74,,
2021-11-19,90.04,4502470,5.54,,
2021-11-26,84.5,3899443,7.96,,
2021-12-03,80.6,5213438,9.09,,
2021-12-10,87.91,3910713,9.67,,
2021-12-17,82.13,4939647,8.3,,
2021-12-24,90.97,3483906,12.43,,
2021-12-31,90.58,2079630,3.05,,
2022-01-07,91.26,4216855,6.51,,
2022-01-14,86.78,6338179,12.29,,
2022-01-21,83.85,4678084,4.49,,
2022-01-28,84.64,4904322,6.4,,
2022-02-04,86.92,4222159,6.42,,
2022-02-11,92.27,4929974,10.93,,
2022-02-18,92.65,4561136,4.87,,
2022-02-25,86.02,6816964,11.61,,
2022-03-04,79.43,5556032,7.49,,
2022-03-11,81.87,7055596,10.89,,
2022-03-18,86.43,4505572,8.5,,
2022-03-25,85.12,5041459,3.05,,
2022-04-01,84.69,3799651,4.39,,
2022-04-08,81.16,3429069,5.93,,
2022-04-15,86.29,2184886,6.41,,
2022-04-22,82.23,3182837,6.22,,
2022-04-29,80.03,3414718,5.21,,
2022-05-06,74.88,3424803,8.63,,
2022-05-13,72.59,9485512,7.68,,
2022-05-20,65.19,6032000,10.18,,
2022-05-27,70.07,4727266,7.53,,
2022-06-03,71.32,3232133,3.34,,
2022-06-10,69,3248105,5.45,,
2022-06-17,65.06,4685880,5.61,,
2022-06-24,71.62,3885935,7.85,,
2022-07-01,69.29,3701964,7.54,,
2022-07-08,73.05,2957360,5.97,,
2022-07-15,75.02,3255762,5.25,,
2022-07-22,79.39,3948584,5.48,,
2022-07-29,78.81,3193052,5.07,,
2022-08-05,80.25,2517406,4.79,,
2022-08-12,76.69,6349191,9.73,,
2022-08-19,77.66,3151388,3.49,,
2022-08-26,74.64,2981424,3.34,,
2022-09-02,65.81,5967708,9.86,,
2022-09-09,71.28,3437445,7.03,,
2022-09-16,65.58,3829225,7.76,,
2022-09-23,55.88,6805166,11.96,,
2022-09-30,57.66,6499760,3.27,,
2022-10-07,60.89,5264936,5.39,,
2022-10-14,59.38,4001020,4.39,,
2022-10-21,57.81,4048014,5.85,,
2022-10-28,63.46,4300040,7.53,,
2022-11-04,62.62,4835534,5.01,,
2022-11-11,71.18,8451267,12.44,,
2022-11-18,74.99,4905215,6.78,,
2022-11-25,76.35,2341053,4.23,,
2022-12-02,78.61,3640857,4.52,,
2022-12-09,74.93,3143400,4.1,,
2022-12-16,75.55,4497422,4.69,,
2022-12-23,79.13,3810908,5.3,,
2022-12-30,78.8,1792620,2.56,,
